Id,Senang,Sedih,Menjijikkan,Meremehkan,Marah,Takut,Surprise
52,,,,4,,,
52,1,0,3,3,0,0,0
53,9,0,0,0,0,0,2
53,10,,,,,,
53,7,,,,,,
53,,6,,,,,
53,,5,,,,,
53,6,,,,,,
53,0,2,9,6,0,0,0
54,7,0,0,0,0,2,2
54,7,,,,,,3
54,8,,,,,,9
54,7,,,,,,5
54,8,2,,,,,3
54,0,0,6,6,1,0,0
55,8,,,,,,5
55,,,8,,,,
54,10,,,,,,
55,7,,,,,,7
55,10,0,0,0,0,2,10
55,6,3,1,,,,3
55,2,0,3,0,3,0,4
56,10,0,0,0,0,0,9
56,,6,,,,2,
56,5,,,,,,4
56,,,9,,,,
56,0,4,0,0,0,0,0
56,3,6,2,,6,4,
56,10,,,,,,
56,10,0,0,0,0,0,0
57,,6,,,,,
7,,6,,,,,
57,,,,,,,
57,3,7,1,,,,1
57,10,,,,,,
57,9,0,0,0,0,0,0
58,2,5,,,,9,5
58,2,,,,5,,
58,10,,,,,,10
58,6,1,3,0,8,10,8
58,,6,,,,7,
58,,,,,,5,5
58,0,0,5,6,8,9,0
59,,,,,7,,
59,,,,,,8,
59,,,,,,7,
59,0,1,0,0,0,10,0
59,,3,0,2,,7,2
59,0,9,0,0,0,10,0
59,5,,,,,,
60,9,,,,,,
60,7,,,,,,
60,8,0,0,0,0,0,8
60,,,,,,5,
60,4,2,,,,7,2
60,8,,,,,,4
60,,,6,,5,9,
61,,9,,,,6,
61,5,0,0,0,0,0,0
61,,,6,,,10,
61,,5,,,,,3
61,5,,,,,,0
61,,6,,,,,
62,9,,,,,,
61,,,,,,6,4
62,,,,,6,6,
62,1,0,3,0,5,9,4
61,,,8,,9,10,
62,1,4,0,2,1,7,7
63,6,0,0,0,0,0,0
63,7,,,,,,2
63,3,5,,,,1,1
63,10,,,,,,
63,6,,,,,,
64,1,1,,,,0,0
64,6,,,,,,
64,6,0,0,0,0,0,0
64,,5,,,,,
64,,4,,,,7,
64,5,0,,,,,
65,5,,,,,,
65,6,,,,,,
65,,3,,,,2,2
65,2,2,2,2,3,3,6
65,,,8,9,,,
65,8,,,,,,
66,8,1,0,0,0,0,0
66,,5,,,,,
66,4,,,,,,4
66,7,,,,,,6
66,7,,,,,,
66,3,3,,2,,,2
67,8,0,0,0,0,0,0
67,10,,,,,,
67,5,,,,,,3
67,,,,,,8,3
67,,,9,9,10,9,
67,8,,,,,,
68,,4,,,,,1
68,7,0,0,0,0,0,0
68,1,1,2,1,,4,3
68,,,5,8,,,
68,,5,,,,,
68,5,,,,,,
69,10,,,,,,
69,10,0,0,0,0,0,0
69,7,,,,,,4
69,9,,,,,,
69,,,5,8,3,4,
69,3,1,,,,,4
70,9,,,,,,
70,9,,,,,,9
70,5,,,,,,3
70,7,0,0,0,0,0,4
70,3,4,,,,1,5
70,,2,8,6,4,,
71,10,0,0,0,0,0,0
71,9,,,,,,
71,5,,,,,,
71,6,,,,,,
71,3,,4,5,,,
71,1,2,,,,,4
72,9,,,,,,
72,6,0,0,0,0,0,0
72,7,,,,,,3
72,1,4,1,,,,1
72,8,,,7,,,3
72,8,,,7,,,3
73,,4,,,,,
73,3,3,,,4,3,0
73,8,0,0,0,0,0,0
73,5,2,,,,,
74,3,6,0,1,,,
73,,,7,,,4,
74,10,,,,,,10
74,7,0,0,0,1,1,3
74,1,,5,6,,4,
74,8,,,,,,
74,5,,,,,,3
74,2,4,0,0,0,2,2
75,,,,6,,5,2
75,,,6,6,8,5,
74,2,6,,,,,
75,,,,,,5,
75,7,0,0,0,3,2,4
75,,5,,,,,
76,5,,,,,,
